name,player style,nationality,base price (in cr),status,Team,Price in Cr
Harshit Rana,Bowler,India,1.0,retained,Kolkata Knight Riders,4.0
Wayne Parnell,Allrounder,South Africa,0.75,remaining,,
Shakib Al Hasan,Allrounder,Bangladesh,1.5,remaining,,
Joe Root,Batter,England,1.0,remaining,,
Raghav Goyal,Bowler,India,0.2,remaining,,
Yudhvir Singh Charak,Allrounder,India,0.2,remaining,,
Luke Wood,Bowler,England,1.0,remaining,,
Dilshan Madushanka,Bowler,Sri Lanka,0.5,remaining,,
Naveen-ul-Haq,Allrounder,Afghanistan,0.5,remaining,,
Akash Singh,Bowler,India,0.2,remaining,,
Johnson Charles,WK-Batter,West Indies,0.5,remaining,,
Rassie van der Dussen,Batter,South Africa,2.0,remaining,,
Mandeep Singh,Batter,India,0.5,remaining,,
Murugan Ashwin,Bowler,India,0.2,remaining,,
KM Asif,Bowler,India,0.3,remaining,,
Dinesh Bana,WK-Batter,India,0.2,remaining,,
Anmolpreet Singh,Batter,India,0.2,remaining,,
Adam Zampa,Bowler,Australia,1.5,remaining,,
Kusal Mendis,WK-Batter,Sri Lanka,0.5,remaining,,
Litton Das,WK-Batter,Bangladesh,0.5,remaining,,
Rilee Rossouw,Batter,South Africa,2.0,remaining,,
Shivam Singh,Allrounder,India,0.2,remaining,,
Mohit Rathee,Allrounder,India,0.2,remaining,,
Nehal Wadhera,Allrounder,India,0.2,remaining,,
Priyank Panchal,Batter,India,0.2,remaining,,
Varun Aaron,Allrounder,India,0.5,remaining,,
Tom Curran,Allrounder,England,0.75,remaining,,
Rehan Ahmed,Allrounder,England,0.5,remaining,,
Avinash Singh,Bowler,India,0.2,remaining,,
Nitish Kumar Reddy,Allrounder,India,0.2,retained,Sunrisers Hyderabad,6.0
G Ajitesh,WK-Batter,India,0.2,remaining,,
Sanjay Yadav,Allrounder,India,0.2,remaining,,
David Wiese,Allrounder,Namibia,1.0,remaining,,
Sumeet Verma,Allrounder,India,0.2,remaining,,
Swapnil Singh,Allrounder,India,0.2,remaining,,
Shams Mulani,Allrounder,India,0.2,remaining,,
Himanshu Bisht,Allrounder,India,0.2,remaining,,
Mohit Sharma,Bowler,India,0.5,remaining,,
Joshua Little,Bowler,Ireland,0.5,remaining,,
Richard Gleeson,Bowler,England,0.5,remaining,,
Jamie Overton,Allrounder,England,2.0,remaining,,
Suyash Sharma,Bowler,India,0.2,remaining,,
Yuvraj Chudasama,Bowler,India,0.2,remaining,,
Paul van Meekeren,Bowler,Netherlands,0.2,remaining,,
Rajan Kumar,Bowler,India,0.2,remaining,,
Vishnu Vinod,WK-Batter,India,0.2,remaining,,
Baba Indrajith,WK-Batter,India,0.2,remaining,,
Donavon Ferreira,WK-Batter,South Africa,0.2,remaining,,
Jagadeesha Suchith,Allrounder,India,0.2,remaining,,
